Economic Sentiment Per Month EU Countries,2022/03 ,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/1
Albania,97.3,96.2,102.7,108.3,108.3,109.3,104.8,98.5,103.2,105,108.3
Austria,105.5,104.8,99.2,99,94.1,88.6,87.8,85.9,87,86.8,92.1
Belgium,98,101.3,97.8,97.7,98,92.9,86,83.4,82.4,88,87.4
Bulgaria,95.5,95.7,95,98.7,100,99.4,99.4,100.1,103.4,103.5,101.6
Cyprus,97,97.4,98.4,96.6,99,96.4,101.8,101.3,100.5,102.6,104
Czechia,91.8,93.3,97,95,89.5,87.7,89.5,83.9,82.2,83.3,88.5
Germany,106.8,106.3,106.6,104.6,99.4,97,92.7,91.6,92.9,95.3,97.8
Denmark,99.8,98.4,94.2,88.5,86.2,90,82.4,74.5,78.7,77.7,78.3
Estonia,100.9,99,95.7,92.5,89.5,88.5,84.8,84.4,84.3,81.2,83.5
Greece,111.5,103.9,107.4,104.2,100.5,100.7,105.7,99,101.6,103.7,105.9
Spain,104.6,100.1,103.6,101.7,96.7,97.6,96.9,98.3,96.5,98.8,101.5
Finland,104.5,101,99.3,96.9,92.2,88.9,85,85.2,83.7,82.5,87.2
France,104.1,102.1,103.7,102.3,101.6,100.2,96.4,96.5,94.7,94.4,98.6
Croatia,108.2,108.5,108.5,108.5,105.7,101.8,101.1,104.9,106.4,107.9,105.2
Hungary,103.2,102.6,102.2,100.3,99.4,93.3,94.4,87.7,86,90.2,89.8
Ireland,104.7,100.6,97.6,102.4,92.6,96.2,95.7,91.4,91.9,96.8,104.1
Italy,103.6,104.9,105.4,104.5,101.1,99.9,96.2,95.6,99.8,100.7,102.5
Lithuania,100.5,99.9,101,99.3,99.4,98.7,96.1,94.4,95.1,92.2,98.2
Luxembourg,98.7,101.6,101,101.4,95.4,92.6,93.9,90.3,91.3,93,97.7
Latvia,95.7,95.1,94.7,90.7,95.1,94.5,91.6,92.2,92,92.7,93.5
Montenegro,101.5,105.7,104.9,102,110.1,100.5,101.3,104.6,108.5,112.2,108.8
North Macedonia,87.4,92.4,90.5,86.7,86.5,92.8,89.8,83.5,96.1,98.6,96.1
Malta,107.3,104.1,104.6,102.7,101.3,99.2,93.6,89.5,95.9,96.7,101.1
Netherlands,103.9,103.8,102.5,99.3,99.6,95.1,91.3,91.2,92.5,94.1,94.6
Poland,97.8,98.3,97.4,95.8,92.5,90.9,88.5,89.3,89.2,90,90
Portugal,103.4,106.2,106.1,105.6,103.6,103,100.1,98.2,97.8,97.1,98.5
Romania,103.1,103.5,101.9,101.8,101.9,100.6,101.9,102.4,104.7,102.1,100.7
Serbia,99.9,102.2,96.9,95.1,94.6,94.2,91.7,90.1,92.5,92.1,92.9
Sweden,109.7,108.2,107.3,102.6,98.6,96.1,89.6,83.9,86.1,84,83.1
Slovenia,98.9,101.8,99,96.7,95.3,96.1,90.4,91.1,94.2,97.5,96
Slovakia,97.2,91.9,99.2,93.6,92.2,88,87.9,86.7,84.1,85.3,88.1
Turkiye,97.1,96.6,96.4,93.2,93.2,94.7,91.7,94.1,94.9,95.5,97
